x,male_Ax,male_Bx,male_alphax,male_betax,female_Ax,female_Bx,female_ alphax,female_betax
18,-6.88218422,0.01330891,-0.45388581,-0.02215461,-7.87748916,0.01189545,-0.26852177,0.00330791
19,-6.81870492,0.01273467,-0.39163263,-0.00604517,-7.86264641,0.01078702,-0.28494191,0.00420681
20,-6.80384097,0.01136112,-0.40801400,-0.00714045,-7.87627298,0.01100750,-0.23781487,0.00447439
21,-6.80092234,0.01065902,-0.39031231,-0.00845811,-7.88741002,0.01080154,-0.21073998,0.00631273
22,-6.81496117,0.00982748,-0.42700332,-0.01027224,-7.88839966,0.01038403,-0.19689682,0.00873207
23,-6.83387644,0.00850825,-0.38522741,-0.00270716,-7.88816315,0.01062894,-0.19938373,0.00471627
24,-6.85836936,0.00782502,-0.39679827,0.00473851,-7.86647311,0.01019747,-0.23366470,0.00250517
25,-6.86691528,0.00731123,-0.39337365,-0.00169168,-7.83859086,0.01041276,-0.14755352,0.00893819
26,-6.86240962,0.00701227,-0.40162078,0.00454322,-7.79397580,0.00948848,-0.20570049,0.00510202
27,-6.85217215,0.00699249,-0.44039064,-0.00191927,-7.75894237,0.00982365,-0.15233353,0.01213908
28,-6.83487074,0.00686778,-0.39682893,0.00649360,-7.71452545,0.00995352,-0.13124255,0.00766248
29,-6.80824126,0.00720372,-0.38525092,0.00893993,-7.64894985,0.00959502,-0.11796715,0.00869930
30,-6.77469657,0.00717768,-0.40053935,0.01290224,-7.57924038,0.01008299,-0.12910840,0.00854336
31,-6.73585337,0.00692097,-0.38894923,0.01365108,-7.52088487,0.00975771,-0.08952133,0.00732359
32,-6.69707823,0.00700379,-0.37699802,0.01397341,-7.43840943,0.00981455,-0.11941273,0.00395800
33,-6.64684737,0.00738989,-0.37601022,0.01201538,-7.35639598,0.00967524,-0.08290509,0.00761879
34,-6.58982730,0.00738275,-0.39216027,0.02431192,-7.27423332,0.00930753,-0.09171027,0.01044030
35,-6.52343527,0.00747180,-0.36932015,0.01001462,-7.18054613,0.00910221,-0.11737051,0.00895298
36,-6.45313911,0.00763426,-0.36758816,0.00578618,-7.10212528,0.00955743,-0.10353032,0.01318850
37,-6.38033673,0.00823158,-0.37028589,0.01842805,-7.01801477,0.00927016,-0.12698686,0.01422401
38,-6.30055702,0.00835014,-0.36603355,0.01289771,-6.92342978,0.00901899,-0.10435776,0.01360697
39,-6.21170724,0.00845776,-0.35293966,0.01673733,-6.82539074,0.00870013,-0.10950732,0.00882376
40,-6.11720453,0.00855498,-0.36186873,0.01256990,-6.73110470,0.00899720,-0.08335799,0.01288934
41,-6.02871349,0.00867446,-0.35479090,0.01029071,-6.63922619,0.00867044,-0.09540530,0.01513456
42,-5.93039489,0.00879583,-0.33754778,0.01350416,-6.53854815,0.00856608,-0.07275518,0.01286168
43,-5.83396228,0.00879498,-0.32789478,0.00863777,-6.43550665,0.00851111,-0.07613159,0.00859124
44,-5.73997251,0.00888332,-0.30808432,0.00488796,-6.34501131,0.00839418,-0.07106723,0.01544442
45,-5.64021617,0.00890391,-0.30659845,-0.00286186,-6.24657974,0.00812863,-0.06618810,0.01249192
46,-5.54368629,0.00883196,-0.30611618,-0.00313393,-6.15464660,0.00814608,-0.03664270,0.01521761
47,-5.44688572,0.00865967,-0.27896599,0.00300462,-6.05846621,0.00818245,-0.03301248,0.01662245
48,-5.35262151,0.00870243,-0.27380560,-0.00252441,-5.96367306,0.00832870,-0.03692042,0.01435819
49,-5.25471814,0.00882606,-0.26414715,-0.00033678,-5.87713745,0.00841593,-0.03762876,0.01456938
50,-5.15276282,0.00901555,-0.25577494,-0.00039067,-5.78357709,0.00827126,-0.06644222,0.01674337
51,-5.06524042,0.00888123,-0.23235012,-0.00223044,-5.70964499,0.00823577,-0.03383977,0.01455285
52,-4.97193909,0.00908707,-0.21880150,-0.00208112,-5.62070825,0.00826702,-0.01487042,0.01661474
53,-4.88172858,0.00913870,-0.20128800,-0.00506007,-5.54688795,0.00826265,-0.04253123,0.01628188
54,-4.78697131,0.00933187,-0.19624958,-0.00705036,-5.46572343,0.00822855,-0.03137947,0.01571865
55,-4.69481835,0.00940162,-0.16790090,-0.00323573,-5.38499405,0.00819773,-0.04152363,0.01614732
56,-4.60558753,0.00953205,-0.15992830,-0.00313287,-5.30563486,0.00834511,-0.02450848,0.01543714
57,-4.51187139,0.00973910,-0.13555220,-0.00208383,-5.22026367,0.00832360,-0.02710822,0.01500131
58,-4.42121626,0.00988726,-0.12314177,0.00191059,-5.13559086,0.00859475,-0.03179021,0.01740756
59,-4.33086989,0.00994145,-0.12714325,0.00020204,-5.05197464,0.00858597,-0.03156782,0.01566582
60,-4.23185078,0.01010480,-0.10478608,0.00160138,-4.95701648,0.00872340,-0.02928902,0.01740752
61,-4.14252349,0.01024411,-0.09581847,0.00319465,-4.87348546,0.00869331,-0.01964249,0.01655574
62,-4.04776354,0.01039243,-0.08241662,0.00505983,-4.78243399,0.00900492,-0.04199837,0.01665073
63,-3.95559214,0.01056850,-0.06487150,0.00864444,-4.69280394,0.00924648,-0.03302515,0.01452880
64,-3.86124764,0.01062526,-0.05773344,0.01143076,-4.59633538,0.00955952,-0.03202514,0.01694490
65,-3.76483636,0.01074907,-0.04840063,0.01285458,-4.50118907,0.00985427,-0.03483714,0.01604760
66,-3.67675241,0.01075940,-0.03534582,0.01461628,-4.40574052,0.00990979,-0.03652594,0.01542331
67,-3.58202227,0.01094234,-0.02576297,0.01618936,-4.30542011,0.01024896,-0.03113707,0.01425710
68,-3.48664554,0.01089011,-0.02021027,0.01778853,-4.20362854,0.01037401,-0.02186381,0.01522552
69,-3.39447268,0.01089888,-0.01517563,0.02212938,-4.09468940,0.01054305,-0.03959125,0.01640198
70,-3.29906284,0.01099768,-0.01635647,0.02485634,-3.98692994,0.01079307,-0.03930775,0.01513853
71,-3.20452430,0.01072778,-0.00941760,0.02570738,-3.87906176,0.01088722,-0.03257493,0.01525210
72,-3.10638222,0.01062889,-0.00094181,0.02791045,-3.76082350,0.01095235,-0.04441260,0.01439872
73,-3.01200356,0.01054338,0.00071489,0.03075672,-3.64713194,0.01111614,-0.04023880,0.01434027
74,-2.91546330,0.01032031,0.00374957,0.03163402,-3.53060680,0.01118886,-0.03987958,0.01403439
75,-2.82103910,0.01010647,0.00554042,0.03253392,-3.41260477,0.01120928,-0.03951964,0.01434105
76,-2.72636909,0.00981558,0.01160914,0.03349987,-3.29289600,0.01112166,-0.04179326,0.01344702
77,-2.63121749,0.00939367,0.01145255,0.03469798,-3.17589337,0.01104520,-0.03177959,0.01349454
78,-2.53703874,0.00909435,0.01299763,0.03753129,-3.05527560,0.01084584,-0.03491421,0.01328689
79,-2.44163082,0.00885686,0.01166151,0.03861743,-2.93347252,0.01065506,-0.03625112,0.01276689
80,-2.33845370,0.00845024,0.00275120,0.03890957,-2.80586455,0.01029971,-0.03399359,0.01253501
81,-2.24459119,0.00798465,0.00535938,0.03998066,-2.68541427,0.00991545,-0.02802944,0.01222525
82,-2.14784133,0.00764614,-0.00654000,0.04018188,-2.56217801,0.00963119,-0.02805387,0.01235297
83,-2.05247423,0.00724308,-0.00511521,0.04062833,-2.44078996,0.00924144,-0.02892676,0.01208401
84,-1.95714006,0.00688091,-0.00679114,0.03979442,-2.32121091,0.00889635,-0.02551586,0.01185376
85,-1.86416705,0.00645202,-0.00779831,0.03586607,-2.20538047,0.00826738,-0.02659623,0.01104489
86,-1.76789264,0.00599575,-0.00948174,0.03482736,-2.08865316,0.00786025,-0.02012896,0.01148403
87,-1.67795656,0.00560706,-0.01223808,0.03506682,-1.97745062,0.00720217,-0.01652248,0.01097133
88,-1.58811915,0.00516343,-0.00898281,0.03486154,-1.86795297,0.00679150,-0.01515466,0.01030270
89,-1.50007416,0.00456158,-0.01624223,0.03318585,-1.75932818,0.00624496,-0.00735385,0.00979692
90,-1.40631508,0.00437583,-0.02289950,0.03468470,-1.65552763,0.00598223,-0.01056450,0.01180756
